timestamp,acc_x,acc_y,acc_z
1523256464579,0.5734113,-4.753089,-0.62009823
1523256464617,-0.85054016,-9.493608,-0.39324763
1523256464643,-0.15682021,-15.056536,-0.6512229
1523256464668,3.205836,-13.113641,0.05626374
1523256464719,4.3783965,-10.353127,-0.3441665
1523256464747,3.8540661,-8.197746,-0.15382746
1523256464762,1.882441,-8.125322,-0.7966706
1523256464797,0.8619126,-7.766192,-0.8678981
1523256464813,1.2132617,-6.7079544,-0.8571242
1523256464830,1.508347,-6.0585275,-0.3645172
1523256464851,2.1362264,-6.2249246,0.24361002
1523256464872,3.675698,-7.4441714,-0.29628247
1523256464885,4.620809,-8.806473,-1.1013328
1523256464914,4.7925935,-9.900622,-0.88286185
1523256464921,4.0695443,-10.835558,-0.82779527
1523256464936,3.2770636,-13.204022,-2.5133133
1523256464955,0.81043726,-16.16924,-0.6865373
1523256464977,-0.6781576,-17.291523,-3.1693244
1523256464998,-2.722806,-15.404294,-3.870227
1523256465026,-0.84335756,-13.764864,-1.2156559
1523256465045,2.1505916,-13.35366,-0.6817489
1523256465068,3.8576574,-13.795989,-0.6099229
1523256465098,1.8004397,-12.927492,-3.8786068
1523256465123,-1.453879,-10.441113,-1.4407109
1523256465138,-0.1945289,-8.46051,-0.89662856
1523256465165,1.6729485,-7.9631147,0.20649989
1523256465193,1.0809821,-6.779781,-1.6693572
1523256465211,0.4794389,-4.569334,1.2258313
1523256465228,2.380435,-3.8522706,0.52612585
1523256465254,3.0424318,-2.815581,-2.582745
1523256465280,1.6220716,-1.6897079,-2.348712
1523256465307,3.1621418,-1.5221137,-2.4941597
1523256465329,5.6203885,-3.4781766,-2.6833014
1523256465356,6.51582,-3.8863878,-2.2798786
1523256465379,3.7427359,-0.55485624,-3.1890767
1523256465408,2.779668,-3.630807,-7.6608467
1523256465433,5.345055,-19.6133,-1.7112557
1523256465458,7.0874357,-19.6133,-1.2425907
1523256465485,2.3110032,-5.42167,-2.7617116
1523256465512,-0.38367084,-7.2089415,0.34237084
1523256465537,-0.9068039,-13.849858,-0.46208093
1523256465564,2.3157916,-14.833876,-0.35314476
1523256465589,3.7912183,-10.94629,-0.3669114
1523256465611,3.0831332,-7.3549876,-0.1945289
1523256465640,2.3421278,-7.5680714,-1.0672154
1523256465676,2.6683378,-8.207922,-0.830788
1523256465683,2.7383683,-7.259818,-0.8619126
1523256465717,2.7754784,-6.0010667,-0.39683893
1523256465730,1.3587095,-5.969942,-0.33518824
1523256465757,1.4263457,-6.7163343,-0.4285621
1523256465772,2.4486697,-7.590218,-0.32441434
1523256465799,4.1533413,-9.214086,-0.077811554
1523256465826,3.8229415,-9.160215,-0.38845924
1523256465843,4.185663,-9.408015,-0.8463503
1523256465887,3.9324763,-12.306795,-1.8471266
1523256465898,1.2755109,-13.968969,-3.7732618
1523256465913,0.24361002,-14.6602955,-1.9788077
1523256466017,0.516549,-16.021399,-3.6649241
